Date:1710656834494 , IP:::ffff:127.0.0.1 GET: /api/users 
Date:1710656841966 , IP:::ffff:127.0.0.1 GET: / 
Date:1710656843406 , IP:::ffff:127.0.0.1 GET: / 
Date:1710656847339 , IP:::ffff:127.0.0.1 GET: /users 
Date:1710656861664 , IP:::ffff:127.0.0.1 GET: /users/ 
Date:1710657220402 , IP:::ffff:127.0.0.1 GET: /api/users 
Date:1710657388935 , IP:::ffff:127.0.0.1 GET: /api/users 
Date:1710657446922 , IP:::ffff:127.0.0.1 POST: /api/users 
Date:1710657563550 , IP:::ffff:127.0.0.1 POST: /api/users 
Date:1710657603873 , IP:::ffff:127.0.0.1 GET: /api/users/65f6901b201ccdf072f74ce8 
Date:1710657649313 , IP:::ffff:127.0.0.1 GET: /api/users/65f6901b201ccdf072f74ce8 
Date:1710657690025 , IP:::ffff:127.0.0.1 GET: /api/users/65f6901b201ccdf072f74ce8 
Date:1710657719182 , IP:::ffff:127.0.0.1 GET: /api/users/65f6901b201ccdf072f74ce8 
Date:1710657855829 , IP:::ffff:127.0.0.1 GET: /api/users/65f6901b201ccdf072f74ce8 
Date:1710657871846 , IP:::ffff:127.0.0.1 GET: /api/users/65f678bba06b50410c2bf3e4 
Date:1710657921951 , IP:::ffff:127.0.0.1 GET: /api/users/ 
Date:1710660377419 , IP:::ffff:127.0.0.1 GET: /api/users/ 
Date:1710660393565 , IP:::ffff:127.0.0.1 GET: /api/users/ 
Date:1710660418185 , IP:::ffff:127.0.0.1 GET: /api/users/ 
Date:1710750449766 , IP:::ffff:127.0.0.1 GET: /api/users/ 
